title,summary,published,year,month,category
"Artificial Intelligence in Reverse Supply Chain Management: The State of
  the Art","Product take-back legislation forces manufacturers to bear the costs of
collection and disposal of products that have reached the end of their useful
lives. In order to reduce these costs, manufacturers can consider reuse,
remanufacturing and/or recycling of components as an alternative to disposal.
The implementation of such alternatives usually requires an appropriate reverse
supply chain management. With the concepts of reverse supply chain are gaining
popularity in practice, the use of artificial intelligence approaches in these
areas is also becoming popular. As a result, the purpose of this paper is to
give an overview of the recent publications concerning the application of
artificial intelligence techniques to reverse supply chain with emphasis on
certain types of product returns.",2010-12-18,2010,2010-12,manufacturing
"Machine-Part cell formation through visual decipherable clustering of
  Self Organizing Map","Machine-part cell formation is used in cellular manufacturing in order to
process a large variety, quality, lower work in process levels, reducing
manufacturing lead-time and customer response time while retaining flexibility
for new products. This paper presents a new and novel approach for obtaining
machine cells and part families. In the cellular manufacturing the fundamental
problem is the formation of part families and machine cells. The present paper
deals with the Self Organising Map (SOM) method an unsupervised learning
algorithm in Artificial Intelligence, and has been used as a visually
decipherable clustering tool of machine-part cell formation. The objective of
the paper is to cluster the binary machine-part matrix through visually
decipherable cluster of SOM color-coding and labelling via the SOM map nodes in
such a way that the part families are processed in that machine cells. The
Umatrix, component plane, principal component projection, scatter plot and
histogram of SOM have been reported in the present work for the successful
visualization of the machine-part cell formation. Computational result with the
proposed algorithm on a set of group technology problems available in the
literature is also presented. The proposed SOM approach produced solutions with
a grouping efficacy that is at least as good as any results earlier reported in
the literature and improved the grouping efficacy for 70% of the problems and
found immensely useful to both industry practitioners and researchers.",2011-05-06,2011,2011-05,manufacturing
Causal Discovery for Manufacturing Domains,"Yield and quality improvement is of paramount importance to any manufacturing
company. One of the ways of improving yield is through discovery of the root
causal factors affecting yield. We propose the use of data-driven interpretable
causal models to identify key factors affecting yield. We focus on factors that
are measured in different stages of production and testing in the manufacturing
cycle of a product. We apply causal structure learning techniques on real data
collected from this line. Specifically, the goal of this work is to learn
interpretable causal models from observational data produced by manufacturing
lines.
  Emphasis has been given to the interpretability of the models to make them
actionable in the field of manufacturing. We highlight the challenges presented
by assembly line data and propose ways to alleviate them.We also identify
unique characteristics of data originating from assembly lines and how to
leverage them in order to improve causal discovery. Standard evaluation
techniques for causal structure learning shows that the learned causal models
seem to closely represent the underlying latent causal relationship between
different factors in the production process. These results were also validated
by manufacturing domain experts who found them promising. This work
demonstrates how data mining and knowledge discovery can be used for root cause
analysis in the domain of manufacturing and connected industry.",2016-05-13,2016,2016-05,manufacturing
Scope for Machine Learning in Digital Manufacturing,"This provocation paper provides an overview of the underlying optimisation
problem in the emerging field of Digital Manufacturing. Initially, this paper
discusses how the notion of Digital Manufacturing is transforming from a term
describing a suite of software tools for the integration of production and
design functions towards a more general concept incorporating computerised
manufacturing and supply chain processes, as well as information collection and
utilisation across the product life cycle. On this basis, we use the example of
one such manufacturing process, Additive Manufacturing, to identify an
integrated multi-objective optimisation problem underlying Digital
Manufacturing. Forming an opportunity for a concurrent application of data
science and optimisation, a set of challenges arising from this problem is
outlined.",2016-09-19,2016,2016-09,manufacturing
Closed-Loop Policies for Operational Tests of Safety-Critical Systems,"Manufacturers of safety-critical systems must make the case that their
product is sufficiently safe for public deployment. Much of this case often
relies upon critical event outcomes from real-world testing, requiring
manufacturers to be strategic about how they allocate testing resources in
order to maximize their chances of demonstrating system safety. This work
frames the partially observable and belief-dependent problem of test scheduling
as a Markov decision process, which can be solved efficiently to yield
closed-loop manufacturer testing policies. By solving for policies over a wide
range of problem formulations, we are able to provide high-level guidance for
manufacturers and regulators on issues relating to the testing of
safety-critical systems. This guidance spans an array of topics, including
circumstances under which manufacturers should continue testing despite
observed incidents, when manufacturers should test aggressively, and when
regulators should increase or reduce the real-world testing requirements for an
autonomous vehicle.",2017-07-25,2017,2017-07,manufacturing
Automated Process Planning for Hybrid Manufacturing,"Hybrid manufacturing (HM) technologies combine additive and subtractive
manufacturing (AM/SM) capabilities, leveraging AM's strengths in fabricating
complex geometries and SM's precision and quality to produce finished parts. We
present a systematic approach to automated computer-aided process planning
(CAPP) for HM that can identify non-trivial, qualitatively distinct, and
cost-optimal combinations of AM/SM modalities. A multimodal HM process plan is
represented by a finite Boolean expression of AM and SM manufacturing
primitives, such that the expression evaluates to an 'as-manufactured'
artifact. We show that primitives that respect spatial constraints such as
accessibility and collision avoidance may be constructed by solving inverse
configuration space problems on the 'as-designed' artifact and manufacturing
instruments. The primitives generate a finite Boolean algebra (FBA) that
enumerates the entire search space for planning. The FBA's canonical
intersection terms (i.e., 'atoms') provide the complete domain decomposition to
reframe manufacturability analysis and process planning into purely symbolic
reasoning, once a subcollection of atoms is found to be interchangeable with
the design target. The approach subsumes unimodal (all-AM or all-SM) process
planning as special cases. We demonstrate the practical potency of our
framework and its computational efficiency when applied to process planning of
complex 3D parts with dramatically different AM and SM instruments.",2018-05-18,2018,2018-05,manufacturing
An Online RFID Localization in the Manufacturing Shopfloor,"{Radio Frequency Identification technology has gained popularity for cheap
and easy deployment. In the realm of manufacturing shopfloor, it can be used to
track the location of manufacturing objects to achieve better efficiency. The
underlying challenge of localization lies in the non-stationary characteristics
of manufacturing shopfloor which calls for an adaptive life-long learning
strategy in order to arrive at accurate localization results. This paper
presents an evolving model based on a novel evolving intelligent system, namely
evolving Type-2 Quantum Fuzzy Neural Network (eT2QFNN), which features an
interval type-2 quantum fuzzy set with uncertain jump positions. The quantum
fuzzy set possesses a graded membership degree which enables better
identification of overlaps between classes. The eT2QFNN works fully in the
evolving mode where all parameters including the number of rules are
automatically adjusted and generated on the fly. The parameter adjustment
scenario relies on decoupled extended Kalman filter method. Our numerical study
shows that eT2QFNN is able to deliver comparable accuracy compared to
state-of-the-art algorithms.",2018-05-20,2018,2018-05,manufacturing
Situation Calculus for Synthesis of Manufacturing Controllers,"Manufacturing is transitioning from a mass production model to a
manufacturing as a service model in which manufacturing facilities 'bid' to
produce products. To decide whether to bid for a complex, previously unseen
product, a manufacturing facility must be able to synthesize, 'on the fly', a
process plan controller that delegates abstract manufacturing tasks in the
supplied process recipe to the appropriate manufacturing resources, e.g., CNC
machines, robots etc. Previous work in applying AI behaviour composition to
synthesize process plan controllers has considered only finite state ad-hoc
representations. Here, we study the problem in the relational setting of the
Situation Calculus. By taking advantage of recent work on abstraction in the
Situation Calculus, process recipes and available resources are represented by
ConGolog programs over, respectively, an abstract and a concrete action theory.
This allows us to capture the problem in a formal, general framework, and show
decidability for the case of bounded action theories. We also provide
techniques for actually synthesizing the controller.",2018-07-12,2018,2018-07,manufacturing
A General End-to-end Diagnosis Framework for Manufacturing Systems,"The manufacturing sector is envisioned to be heavily influenced by artificial
intelligence-based technologies with the extraordinary increases in
computational power and data volumes. A central challenge in manufacturing
sector lies in the requirement of a general framework to ensure satisfied
diagnosis and monitoring performances in different manufacturing applications.
Here we propose a general data-driven, end-to-end framework for the monitoring
of manufacturing systems. This framework, derived from deep learning
techniques, evaluates fused sensory measurements to detect and even predict
faults and wearing conditions. This work exploits the predictive power of deep
learning to automatically extract hidden degradation features from noisy,
time-course data. We have experimented the proposed framework on ten
representative datasets drawn from a wide variety of manufacturing
applications. Results reveal that the framework performs well in examined
benchmark applications and can be applied in diverse contexts, indicating its
potential use as a critical corner stone in smart manufacturing.",2018-12-17,2018,2018-12,manufacturing
"A 20-Year Community Roadmap for Artificial Intelligence Research in the
  US","Decades of research in artificial intelligence (AI) have produced formidable
technologies that are providing immense benefit to industry, government, and
society. AI systems can now translate across multiple languages, identify
objects in images and video, streamline manufacturing processes, and control
cars. The deployment of AI systems has not only created a trillion-dollar
industry that is projected to quadruple in three years, but has also exposed
the need to make AI systems fair, explainable, trustworthy, and secure. Future
AI systems will rightfully be expected to reason effectively about the world in
which they (and people) operate, handling complex tasks and responsibilities
effectively and ethically, engaging in meaningful communication, and improving
their awareness through experience.
  Achieving the full potential of AI technologies poses research challenges
that require a radical transformation of the AI research enterprise,
facilitated by significant and sustained investment. These are the major
recommendations of a recent community effort coordinated by the Computing
Community Consortium and the Association for the Advancement of Artificial
Intelligence to formulate a Roadmap for AI research and development over the
next two decades.",2019-08-07,2019,2019-08,manufacturing
